sku|code|name|type|price|sale_price|availability|link|image1|image2|cost|release_date|category|author_speaker_editor|brand|custom_design|target_audience|skill_level|technique|rating|stock_status|short_description|description
Y1325|Y1325|Nothin' But Muscle|Paperback|16.99||N|http://OldCarsBookStore.com/nothin-but-muscle|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Y/1/Y1325.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Y/1/Y1325.jpg|2.08|2010-09-16 00:00:00|519~525~577~631~2445~2595~4011~4499~4509~4561~4595~4615~4625~4639|Old Cars Weekly Staff|Krause Publications||||||0|<p>Discover 199 of the top American muscle cars from GTO's and Shelby racers to Buicks and Vipers.</p><p>Flip through muscle car photos and historical information in this guide through the greatest muscle cars ever built.</p>|<h4>You'll Love This If:</h4><ul><li>You love muscle cars</li><li>You want flip through muscle car photos and history</li><li>You have to see the greatest muscle cars ever built</li></ul><p>In this <b>muscle car collection</b>, the Editors of Old Cars Weekly take you through the greatest muscle cars ever built.<br /></p><h4>In This Muscle Car Collection You&rsquo;ll Find:</h4><ul><li>The top 199 American muscle cars</li><li>Big engines and performance full-size coupes</li><li>GTO's, Shelby racers, and powerhouse Buicks and Vipers</li></ul>
BOCW07|BOCW07|Best of Old Cars CD||9.95|3.59|N|http://OldCarsBookStore.com/best-of-old-cars-cd|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/B/O/BOCW07.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/B/O/BOCW07.jpg|1.28|2007-12-14 00:00:00|631~2423~2445~2471~2595~4469~4479~4509~4591~4593~4597~4605~4611~4615~4617~4629~4667|Old Cars Weekly|Old Cars Weekly||||||0|Best of Old Cars CD|The best Old Cars feature stories, how-to stories and road trips ... all on one CD. Featuring bonus features not found on the newsstand title. For more old cars information visit www.oldcarsweekly.com.
MV1SC|MV1SC|Military Vehicles Magazine One Year Subscription - Canadian||29.98||Y|http://OldCarsBookStore.com/military-vehicles-magazine-one-year-subscription-canadian|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/M/V/MV1SC.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/M/V/MV1SC.jpg|0.00|2009-08-05 00:00:00|631~2043~2437~2595~2739~4499~4555||Military Vehicles Magazine||||||1|More than 18,500 people worldwide subscribe to Military Vehicles Magazine. Established in 1987, t|<p>More than 18,500 people worldwide subscribe to Military Vehicles Magazine. Established in 1987, the magazine is published Bi-monthly. Each issue is dedicated to the preservation, restoration, and use of historic military vehicles. Military Vehicles Magazine features news, historic images, tech topics, weapons, replicas, models, toys and book/media reviews. Equally exciting are the ads featuring jeeps, trucks, tracked vehicles, motorcycles, parts, manuals & accessories. Each issue also includes a complete show listing.<p>Get a full year of Military Vehicles (7 issues) and get all the expert information you need!<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
MV1SI|MV1SI|Military Vehicles Magazine One Year Subscription - International||34.98||Y|http://OldCarsBookStore.com/military-vehicles-magazine-one-year-subscription-international|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/M/V/MV1SI.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/M/V/MV1SI.jpg|0.00|2009-08-05 00:00:00|631~2045~2437~2595~2741~4499~4555||Military Vehicles Magazine||||||1|More than 18,500 people worldwide subscribe to Military Vehicles Magazine. Established in 1987, t|<p>More than 18,500 people worldwide subscribe to Military Vehicles Magazine. Established in 1987, the magazine is published Bi-monthly. Each issue is dedicated to the preservation, restoration, and use of historic military vehicles. Military Vehicles Magazine features news, historic images, tech topics, weapons, replicas, models, toys and book/media reviews. Equally exciting are the ads featuring jeeps, trucks, tracked vehicles, motorcycles, parts, manuals & accessories. Each issue also includes a complete show listing.<p>Get a full year of Military Vehicles (7 issues) and get all the expert information you need!<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
MV1SU|MV1SU|Military Vehicles Magazine One Year Subscription - U.S.||24.98||Y|http://OldCarsBookStore.com/military-vehicles-magazine-one-year-subscription-us|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/M/V/MV1SU.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/M/V/MV1SU.jpg|0.00|2009-08-05 00:00:00|631~2041~2437~2595~2737~4499~4555||Military Vehicles Magazine||||||1|More than 18,500 people worldwide subscribe to Military Vehicles Magazine. Established in 1987, t|<p>More than 18,500 people worldwide subscribe to Military Vehicles Magazine. Established in 1987, the magazine is published Bi-monthly. Each issue is dedicated to the preservation, restoration, and use of historic military vehicles. Military Vehicles Magazine features news, historic images, tech topics, weapons, replicas, models, toys and book/media reviews. Equally exciting are the ads featuring jeeps, trucks, tracked vehicles, motorcycles, parts, manuals & accessories. Each issue also includes a complete show listing.<p>Get a full year of Military Vehicles (7 issues) and get all the expert information you need!<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
OC1SC|OC1SC|Old Cars Price Guide Magazine One Year Subscription - Canadian||29.98||Y|http://OldCarsBookStore.com/old-cars-price-guide-magazine-one-year-subscription-canadian|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/O/C/OC1SC.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/O/C/OC1SC.jpg|0.00|2009-08-05 00:00:00|631~2043~2445~2595~2739~4615~4637|Old Cars Price Guide Magazine|Old Cars Price Guide Magazine||||||1|Get 1 year (6 issues) of the nation's most respected authority on collectible car pricing, comple|<p>Get 1 year (6 issues) of the nation's most respected authority on collectible car pricing, complete with special sections on foreign makes and light-duty trucks. Join the ranks of insurers, dealers and collectors who depend on Old Car Price Guide&mdash;subscribe today.<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
OC1SI|OC1SI|Old Cars Price Guide Magazine One Year Subscription - International||34.98||Y|http://OldCarsBookStore.com/old-cars-price-guide-magazine-one-year-subscription-international|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/O/C/OC1SI.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/O/C/OC1SI.jpg|0.00|2009-08-05 00:00:00|631~2045~2445~2595~2741~4615~4637|Old Cars Price Guide Magazine|Old Cars Price Guide Magazine||||||1|Get 1 year (6 issues) of the nation's most respected authority on collectible car pricing, comple|<p>Get 1 year (6 issues) of the nation's most respected authority on collectible car pricing, complete with special sections on foreign makes and light-duty trucks. Join the ranks of insurers, dealers and collectors who depend on Old Car Price Guide&mdash;subscribe today.<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
OC1SU|OC1SU|Old Cars Price Guide Magazine One Year Subscription - U.S.||17.98||Y|http://OldCarsBookStore.com/old-cars-price-guide-magazine-one-year-subscription-us|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/O/C/OC1SU.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/O/C/OC1SU.jpg|0.00|2009-08-05 00:00:00|631~2041~2445~2595~2737~4615~4637~8632|Old Cars Price Guide Magazine|Old Cars Price Guide Magazine||||||1|Get 1 year (6 issues) of the nation's most respected authority on collectible car pricing, comple|<p>Get 1 year (6 issues) of the nation's most respected authority on collectible car pricing, complete with special sections on foreign makes and light-duty trucks. Join the ranks of insurers, dealers and collectors who depend on Old Car Price Guide&mdash;subscribe today.<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
OW1SC|OW1SC|Old Cars Weekly Magazine One Year Subscription - Canadian||99.98||Y|http://OldCarsBookStore.com/old-cars-weekly-magazine-one-year-subscription-canadian|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/O/W/OW1SC.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/O/W/OW1SC.jpg|0.00|2009-08-05 00:00:00|631~2043~2445~2595~2739~4615~4637|Old Cars Weekly Magazine|Old Cars Weekly Magazine||||||1|Old Cars Weekly covers the entire field of collectible automobiles, from the classic touring cars|<p>Old Cars Weekly covers the entire field of collectible automobiles, from the classic touring cars and roadsters of the early 1900s to the popular muscle cars of the 1960s and '70s. Each week Old Cars Weekly brings you expert restoration advice, a huge classified marketplace, fascinating historical features, and the latest news on car shows, swap meets and auctions. Miss a week and you'll miss a lot!<p>Subscribe and receive 1 year (52 issues) of Old Cars Weekly delivered to your home.<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
OW1SI|OW1SI|Old Cars Weekly Magazine One Year Subscription - International||124.98||Y|http://OldCarsBookStore.com/old-cars-weekly-magazine-one-year-subscription-international|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/O/W/OW1SI.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/O/W/OW1SI.jpg|0.00|2009-08-05 00:00:00|631~2045~2445~2595~2741~4615~4637|Old Cars Weekly Magazine|Old Cars Weekly Magazine||||||1|Old Cars Weekly covers the entire field of collectible automobiles, from the classic touring cars|<p>Old Cars Weekly covers the entire field of collectible automobiles, from the classic touring cars and roadsters of the early 1900s to the popular muscle cars of the 1960s and '70s. Each week Old Cars Weekly brings you expert restoration advice, a huge classified marketplace, fascinating historical features, and the latest news on car shows, swap meets and auctions. Miss a week and you'll miss a lot!<p>Subscribe and receive 1 year (52 issues) of Old Cars Weekly delivered to your home.<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
